,Title,Subheading,Date
0, Ação de limpeza em ponto de descarte irregular retira 10t de lixo, | O ponto fica em um cruzamento localizado no bairro Tupi,2021-06-18
1, Luiz Felipe vê evolução e sonha em marcar de novo contra o São Paulo, | Zagueiro já marcou contra o Tricolor em 2019,2021-06-18
2, Atenção básica de saúde é reforçada com a chegada de mais médicos, | Quatro profissionais passam a integrar quadro das ESF,2021-06-18
3, Projeto quer obrigar condomínios a comunicar violência doméstica," | Pelo texto, edifícios teriam que alertar órgãos públicos",2021-06-18
4,Brasil registra 2.449 mortes em 24h e se aproxima de 500 mil óbitos,Do not have a subheading,2021-06-18
5, Justiça manda PF reter passaporte de Carlos Wizard quando ele voltar ao Brasil,Do not have a subheading,2021-06-18
6, Bolsonaro diz que 'CPI da mentira' se ilude achando que vai derrubar governo,Do not have a subheading,2021-06-18
7, Advocacia Ruy de Mello Miller promove webinars sobre questões portuárias,Do not have a subheading,2021-06-18
8,Coluna de Frederico Bussinger: Transportes para Europa-2050,Do not have a subheading,2021-06-18
9, Agronegócio defende investimentos no Porto de Santos,Do not have a subheading,2021-06-18
10, Eldorado recebe licença ambiental para novo terminal no Porto de Santos,Do not have a subheading,2021-06-18
11, Porto de Santos terá Serviço de Segregação e Entrega de contêineres remunerado ,Do not have a subheading,2021-06-18
12,O poder da massagem: prática oferece benefícios para o corpo e mente,Do not have a subheading,2021-06-18
13, Pets ganham cada vez mais opções de guloseimas no mercado ,Do not have a subheading,2021-06-18
14, Estudos apontam que má alimentação pode atrapalhar a fertilidade,Do not have a subheading,2021-06-18
15, Sofá é a estrela da sala e escolha requer atenção aos detalhes,Do not have a subheading,2021-06-18
